,Real,Prediccion
641,"$57,401.10","$54,806.71"
642,"$57,321.52","$55,435.88"
643,"$61,593.95","$55,916.60"
644,"$60,892.18","$56,979.34"
645,"$61,553.62","$57,842.62"
646,"$62,026.08","$58,710.02"
647,"$64,261.99","$59,497.70"
648,"$65,992.84","$60,494.53"
649,"$62,210.17","$61,635.16"
650,"$60,692.27","$61,973.80"
651,"$61,393.62","$61,875.47"
652,"$60,930.84","$61,735.06"
653,"$63,039.82","$61,454.25"
654,"$60,363.79","$61,513.89"
655,"$58,482.39","$61,171.28"
656,"$60,622.14","$60,535.02"
657,"$62,227.96","$60,282.06"
658,"$61,888.83","$60,368.22"
659,"$61,318.96","$60,487.44"
660,"$61,004.41","$60,568.31"
661,"$63,226.40","$60,587.74"
662,"$62,970.05","$60,952.21"
663,"$61,452.23","$61,266.64"
664,"$61,125.68","$61,292.48"
665,"$61,527.48","$61,223.08"
666,"$63,326.99","$61,177.92"
667,"$67,566.83","$61,408.69"
668,"$66,971.83","$62,360.11"
669,"$64,995.23","$63,219.16"
670,"$64,949.96","$63,667.60"
671,"$64,155.94","$63,965.31"
672,"$64,469.53","$63,993.57"
673,"$65,466.84","$63,993.57"
674,"$63,557.87","$64,118.93"
675,"$60,161.25","$63,898.12"
676,"$60,368.01","$63,084.26"
677,"$56,942.14","$62,305.50"
678,"$58,119.58","$61,016.38"
679,"$59,697.20","$60,061.96"
680,"$58,730.48","$59,549.51"
681,"$56,289.29","$59,067.21"
682,"$57,569.07","$58,332.11"
683,"$56,280.43","$57,912.04"
684,"$57,274.68","$57,390.71"
685,"$53,569.77","$57,146.90"
686,"$54,815.08","$56,391.24"
687,"$57,248.46","$55,888.18"
688,"$57,806.57","$55,877.73"
689,"$57,005.43","$56,058.11"
690,"$57,229.83","$56,174.92"
691,"$56,477.82","$56,349.06"
692,"$53,598.25","$56,390.54"
693,"$49,200.70","$55,914.71"
694,"$49,368.85","$54,683.82"
695,"$50,582.62","$53,469.11"
696,"$50,700.09","$52,565.88"
697,"$50,504.80","$51,852.12"
698,"$47,672.12","$51,292.64"
699,"$47,243.30","$50,447.88"
700,"$49,362.51","$49,655.13"
701,"$50,098.34","$49,321.16"
702,"$46,737.48","$49,266.84"
703,"$46,612.63","$48,810.30"
704,"$48,896.72","$48,373.05"
705,"$47,665.43","$48,316.51"
706,"$46,202.14","$48,136.94"
707,"$46,848.78","$47,773.66"
708,"$46,707.02","$47,534.40"
709,"$46,880.28","$47,328.64"
710,"$48,936.61","$47,188.34"
711,"$48,628.51","$47,405.09"
712,"$50,784.54","$47,636.01"
713,"$50,822.20","$48,244.12"
714,"$50,429.86","$48,845.91"
715,"$50,809.52","$49,315.12"
716,"$50,640.42","$49,763.00"
717,"$47,588.86","$50,092.85"
718,"$46,444.71","$49,828.80"
719,"$47,178.12","$49,275.57"
720,"$46,306.45","$48,790.32"
721,"$47,686.81","$48,197.26"
722,"$47,345.22","$47,903.56"
723,"$46,458.12","$47,653.48"
724,"$45,897.57","$47,357.64"
725,"$43,569.00","$47,033.08"
726,"$43,160.93","$46,382.87"
727,"$41,557.90","$45,699.33"
728,"$41,733.94","$44,840.39"
729,"$41,911.60","$44,083.12"
730,"$41,821.26","$43,461.29"
731,"$42,735.86","$42,968.38"
732,"$43,949.10","$42,738.11"
733,"$42,591.57","$42,827.59"
734,"$43,099.70","$42,813.28"
735,"$43,177.40","$42,902.60"
736,"$43,113.88","$43,022.58"
737,"$42,250.55","$43,120.72"
738,"$42,375.63","$43,069.86"
739,"$41,744.33","$42,997.02"
740,"$40,680.42","$42,809.45"
741,"$36,457.32","$42,451.02"
742,"$35,030.25","$41,432.84"
743,"$36,276.80","$40,172.07"
744,"$36,654.33","$39,171.67"
745,"$36,954.00","$38,392.24"
746,"$36,852.12","$37,856.55"
747,"$37,138.23","$37,486.83"
748,"$37,784.33","$37,304.66"
